PART,CONDITION
AIR FILTERS,ORDER
FILTERS,DIRTY
FCU FILTER,DEGRADED
FCU FILTER,DEGRADED
DP GAUGE,FAULTY
VLVS,Not Detected
VLVS,Not Detected
AC UNIT DRAIN PAN,DEGRADED
O-RING,DEGRADED
NEED NEW MOTOR,Not Detected
FILTERS,DIRTY
FILTERS,DIRTY
BELT,BROKEN
FILTERS,DIRTY
FILTERS,DIRTY
AIR FILTERS,DIRTY
DMCS SCREEN,INOP
Not Detected,Not Detected
DOSIMETERS,REPLACEMENT
FILTERS,DEGRADED
LAGGING,DAMAGED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FAN MOTOR,Not Detected
Not Detected,NO ACCESS TO VENT BLADE
Not Detected,NO ACCESS TO VENT BLADE
Not Detected,FAULTY
ALARM FAILURE,Not Detected
Not Detected,FAULTY
APD PRESSURE HOUSING SCREW,Not Detected
DESMOKE,INOP
BOLTS OF VENT COVER,MISSING
FCU,REPLACE
MOV,INOP
Not Detected,DISCREPANCY
Not Detected,DUST
Not Detected,DUST
AC FILTER,Not Detected
AC FILTER,Not Detected
AC FILTER,Not Detected
AC FAILS,Not Detected
NEED OF REWIND,Not Detected
NEED OF REWIND,Not Detected
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
ELEMENT,WORN
VALVE,BROKEN
VENT FILTERS,Not Detected
VENT FILTERS,Not Detected
VENT FILTERS,Not Detected
VALVE,Not Detected
VALVE,Not Detected
VALVE,Not Detected
BELTS,DEGRADED
BELTS,DEGRADED
AIR FILTER,DIRTY
FCU,Not Detected
FCU,Not Detected
DS-SC8A,CELL
Not Detected,PAINT
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
CALL STATION,BROKEN
OIL HEATER,MALFUNCTION
OIL HEATER,MALFUNCTION
BLOWN FUSES,Not Detected
BLOWN FUSES,Not Detected
FILTER,REPLACEMENT
FILTER,REPLACEMENT
THERMISTOR CW INLET,Not Detected
FUSES,MISSING
FUSES,MISSING
MAC UNIT,NOISE
FME COVERS,PMS
FME COVERS,PMS
CONTACTOR,FAILED
VVCP,LIGHT OUT
Not Detected,ELEMENTS
Not Detected,ELEMENTS
Not Detected,ELEMENTS
Not Detected,ELEMENTS
Not Detected,ELEMENTS
FILTERS,MODERATE DIRT
AC MOTOR,ASSESSMENT
FCA,DEGRADING
FCA,DEGRADING
VENT INLET FASTENERS,CORRODED
AIR FILTERS,REQUIRED
INDICATOR TRANSFORMER,FAULTY
1MC INSTALLATION,Not Detected
ZINC ANNODES,Not Detected
ZINC ANNODES,Not Detected
ZINC ANNODES,Not Detected
ZINC ANNODES,Not Detected
ZINC ANNODES,Not Detected
ZINC ANNODES,Not Detected
CONDENSER ZINC ANNODES,Not Detected
FAN COIL,Not Detected
STUDS,Not Detected
Not Detected,WORN BATTERY
GRIDDLE VENT HOOD,Not Detected
VENT HOOD,Not Detected
BATTERIES,BROKEN
BATTERIES,BROKEN
VALVE,LEAKING
HOSE,MISSING
SPEAKERS,Not Detected
46MC CONTROL UNIT A,Not Detected
46MC CONTROL UNIT A,Not Detected
FCU PIPES,CLOGGED
FCU,Not Detected
FCU,Not Detected
DECK WALKWAY,GALLERY
DECK WALKWAY,GALLERY
DECK WALKWAY,GALLERY
AIR DIFFUSER,MIISSING
WIRING PENETRATION,UNDERSIZED
AIR FILTER,DIRTY
AIR FILTER,DIRTY
AIR FILTER,DIRTY
AIR FILTER,DIRTY
AIR FILTER,DIRTY
AIR FILTER,DIRTY
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
W CLOSURE,SEIZED
OIL COOLER,DEGRADED
SIGHT GLASS,FAILED
SIGHT GLASS,FAILED
DAMPERS,INOP
VENT,INOP
VENT,INOP
MOTOR,OOC
SWITCH,Not Detected
SPEAKER,MISSING
CONDENSER ZINCS,Not Detected
1MC SPEAKER,DAMAGED
DUCT HEATER,INOP
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
Not Detected,COMPONENTS
FCU FILTER,REPLACEMENT
FCU FILTER,REPLACEMENT
BEARINGS,REPLACE
BEARINGS,REPLACE
PREHEATER,TEST
FCU FILTER,DEGRADED
FARM,REPLACEMENT
FARM,REPLACEMENT
FARM,REPLACEMENT
FARM,REPLACEMENT
FARM,REPLACEMENT
FARM,REPLACEMENT
Not Detected,LOW SPEAKER
AIR FILTER,ORDER
VENT COVER,MISSING
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
Not Detected,INOP
Not Detected,INOP
Not Detected,INOP
CHILL WATER,LEAK
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
CONTACTS,CORRODED
CONTACTS,CORRODED
DEPLETED SUPPLIES,Not Detected
DEPLETED SUPPLIES,Not Detected
DEPLETED SUPPLIES,Not Detected
DEPLETED SUPPLIES,Not Detected
PUMP,INOP
BELT,WORN
FCU FILTER,DEGRADED
FCU FILTER,DEGRADED
FCU FILTER,DEGRADED
FCU FILTER,DEGRADED
FCU FILTER,DEGRADED
TUBE SHOP,Not Detected
HEATER,REPLACEMENT
FAN STARTS,WHEN
ORDERING,PARTS
KNOB,MISSING
FAN COIL,INOP
SPEAKERS,Not Detected
PLENUM,CORRODED
PLENUM,CORRODED
PLENUM,CORRODED
PLENUM,CORRODED
STARTER,LVRE
FAN ROOM,PAINT
FITTING,LEAKING
BROKE,Not Detected
BROKE,Not Detected
KNOBS,MISSING
SWITCH,MISSING
FCU,NEEDS FILTERS
FCU,NEEDS FILTERS
FCU,NEEDS FILTERS
JDIAL INSTALL,Not Detected
INSTALL,Not Detected
OVR ALLOW RATE,Not Detected
AC UNIT,Not Detected
Not Detected,NOT WORKING
HEATING COIL,LEAKING
Not Detected,DIRTY
STUCK SHUT,Not Detected
STUCK SHUT,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
FILTER,DIRTY
FILTERS,Not Detected
SOLENOID,INOPERABLE
FCU AIR FILTERS,DEGRADED
FAN COIL UNIT,RUPTURED
Not Detected,BEARINGS
Not Detected,BEARINGS
FCU FILTER,DEGRADED
AIR FILTER,DAMAGED
VENTILATION,Not Detected
Not Detected,Not Detected
DRAIN PAN SCREWS,SEIZED
CHECK/,REPLACE
UNREACHABLE FAN HOUSING,Not Detected
UNREACHABLE FAN HOUSING,Not Detected
UNREACHABLE FAN HOUSING,Not Detected
Not Detected,NOT SEALED
Not Detected,LOW SPEED
HEATING COIL,DAMAGED
FANS,DOES NOT WORK
FANS,DOES NOT WORK
ACTUATOR,BROKEN
NEW DUMMY PLUG,ORDER
FCU FILTER,REPLACEMENT
DAMPER SWITCH,INOP
SWITCH,OUT OF CAL
SWITCH,OUT OF CAL
SWITCH,OUT OF CAL
CW ISO VLV,LEAK
CW ISO VLV,LEAK
CW ISO VLV,LEAK
FILTERS,DEGRADED
FILTERS,DEGRADED
LOUD SPEAKER,INOP
LABEL PLATE,MISSING
LABEL PLATE,MISSING
LAGGING,DETERIORATED
AIR FILTERS,WORN
FILTERS,Not Detected
VENT FILTER,DEGRADED
VENT FILTER,DEGRADED
VENT FILTER,DEGRADED
BOLT,BROKEN
VENTILLATION FILTER,DEGRADED
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
SPARE,Not Detected
PAPER,CHANGES
TRANSFORMER,WORN
O-RING,LEAKS
O-RING,LEAKS
O-RING,LEAKS
O-RING,LEAKS
TERMINAL BOX INV LOW,Not Detected
TERMINAL BOX INV LOW,Not Detected
CWCV,DOES NOT OPERATE
DECK,LEAKING
ELECTRIC CORD,Not Detected
Not Detected,DISCREPANCIES
Not Detected,DISCREPANCIES
DIALABLE ORIFICE,REPLACE
DIALABLE ORIFICE,REPLACE
DIALABLE ORIFICE,REPLACE
DIALABLE ORIFICE,REPLACE
Not Detected,Not Detected
FAN COIL UNIT,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
Not Detected,INOP
Not Detected,INOP
BELTS,WORN
HEAT SUPPLY SYSTEM,LEAK
DUCT HEATER,Not Detected
DUCT HEATER,Not Detected
MICROPRO CKT CARD,FAULTY
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
SPEAKERS,STATEROOM
FILTER,WORN
FILTER,WORN
BULBS,LIGHT
FUNNEL,DETERIORATED
Not Detected,REQUIRE
Not Detected,LIGHT
Not Detected,LIGHT
Not Detected,LIGHT
Not Detected,LIGHT
Not Detected,LIGHT
Not Detected,LIGHT
Not Detected,HIGH DIFFERENTIAL
MOISTURE INDICATOR,FAULTY
MOISTURE INDICATOR,FAULTY
MOISTURE INDICATOR,FAULTY
MOISTURE INDICATOR,FAULTY
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
NEED FCU FILTER,Not Detected
Not Detected,PMS
Not Detected,PMS
HEATING COILS,REPLACE
CONDUCT,PMS
CONDUIT,HIGH PRESSURE
LAGGING,DEGRADED
Not Detected,TRIPS OFF
FAN BELT,DEGRADED
FAN BELT,DEGRADED
FLOWMETER,Not Detected
SCREEN,Not Detected
KNOBS,REPLACEMENT
Not Detected,MISSING LOW PRESSURE SWITCH
Not Detected,MISSING LOW PRESSURE SWITCH
AIR FILTERS,Not Detected
DRAIN,NEEDS REPAIR
FAN BEARING,REPLACEMENT
FAN BEARING,REPLACEMENT
FAN BEARING,REPLACEMENT
MOTOR CONTROLLER,CORREDED
MOTOR CONTROLLER,CORREDED
MOTOR CONTROLLER,CORREDED
FCA FAN,INOP
AIR FILTER,DEGRADED
FAILED,CALIBRATION
MOTOR,INOP
EDL-161187 VENT PLNM,Not Detected
FLAT FILTER,REPLACEMENT
FLAT FILTER,REPLACEMENT
FLAT FILTER,REPLACEMENT
FCU FILTER,DIRTY
MATERIALS,NEEDED
MATERIALS,NEEDED
MATERIALS,NEEDED
MATERIALS,NEEDED
MATERIALS,NEEDED
MATERIALS,NEEDED
MATERIALS,NEEDED
SOLENOID VALVE,REPLACE
SWITCH,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
CONTROL,BROKEN
RELIEF VALVE,FAILED
RELIEF VALVE,FAILED
RELIEF VALVE,FAILED
FILTERS,Not Detected
FILTER,Not Detected
FILTERS,Not Detected
FILTERS,Not Detected
FCU,Not Detected
BELTS,MISSING
SEALS,LEAKING
SEALS,LEAKING
SEALS,LEAKING
SEALS,LEAKING
SEALS,LEAKING
SEALS,LEAKING
SEALS,LEAKING
RELIEF VALVE,TESTING
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FAN COIL UNIT,MISSING
Not Detected,Not Detected
Not Detected,FCA
FCA FILTER,DIRTY
AIR FILTER,DIRTY
Not Detected,LACK OF MATERIAL
FCU,MISSING ON
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FCU FILTERS,Not Detected
NEED NEW FILTERS,Not Detected
FUSE CLIP,CORRODED
Not Detected,FAULTY
BULBS,OUT LIGHT
BULBS,OUT LIGHT
BULBS,OUT LIGHT
BULBS,OUT LIGHT
BULBS,OUT LIGHT
BULBS,OUT LIGHT
DEFFECTIVE CURRENT TRANSFORMER,Not Detected
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
TVSS,INOPERABLE
VU METER,REQUIRED
VU METERD BOARD,REQUIRED
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
VENT DAMPER,INOP
1MC,INOP
SPEAKER,MISSING
Not Detected,DAMAGED
HEATING COIL PANEL,SEIZED
LIGHT COVERS,BROKEN
LIGHT COVERS,BROKEN
Not Detected,PMS
5MC LOUDSPEAKER,DEGRADED
5MC LOUDSPEAKER,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
ALARM SYSTEM,INOPERABLE
VENTILATION PANEL.,RUSTED
NEED OF AIR FILTERS,Not Detected
NEED OF AIR FILTERS,Not Detected
SPEAKER,FAULTY
FILTERS,REQUIRED
AIR FILTERS,REPLACE
ARE,DEGRADED
TRV,DEGRADED
SERIOUS BEARING,WEAR
MIC PORT,MISSING
MIC PORT,MISSING
DECK HOUSE,Not Detected
DECK HOUSE,Not Detected
DECK HOUSE,Not Detected
CLEAN VENT,Not Detected
ZINCS,DETERIORATED
VALVE,SEVERELY CORRODED
VALVE ACTUATOR,MISSING
5MC/6MC UNIT,INOP
AIR FILTER,MISSING
FILTERS,DIRTY
PAINTED FILTER,Not Detected
VENT COVER,MISSING
FAN COIL UNIT,LEAKING
CHW SUPPLY,BROKEN
VALVE,LEAKY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
Not Detected,FAULTY
BELT,A25
BELT,NEEDED
MISALIGNMENT,Not Detected
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
5MC,REPLACEMENT
OVERLOADS,REPLACE
SPEAKERS,Not Detected
SPEAKERS,Not Detected
SPEAKERS,Not Detected
SPEAKERS,Not Detected
SPEAKERS,Not Detected
CONTACTOR,Not Detected
CONTACTOR,Not Detected
Not Detected,Not Detected
BRAZE VALVE,Not Detected
BRAZE VALVE,Not Detected
AIR FILTER,REPLACEMENT
FCU PANEL,MISSING
PREHEATER,LEAKING
BASE,CORRODED
PSI TEMPERTURE FAILURE,Not Detected
FAN,BROKEN
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FAILURE,OVERLOAD
Not Detected,Not Detected
FILTERS,WORN
FAIL,Not Detected
FAIL,Not Detected
FAIL,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
MECHANICALLY,DEFICIENT
RELIEF VLV,DEGRADED
RELIEF VLV,DEGRADED
AIR,MOVING
RESILIENT MOUNTS,INACCESSIBLE
SPEAKER,INOP
LAGGING,REPLACE
SPEAKER,INOP
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
ACP FAN,INOP
VALVE,LEAK
HEATING ELEMENT,OPEN
Not Detected,GROUNDED
Not Detected,GROUNDED
Not Detected,GROUNDED
MOTOR,OUT OF TOLERANCE
STUCK SHUT,Not Detected
STUCK SHUT,Not Detected
CO'S CABIN CHW,LEAK
FILTERS,Not Detected
FILTERS,Not Detected
FILTERS,Not Detected
FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
AIR FILTERS,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
FILTERS,13AF
ELEMENT,DIRTY
ELEMENT,DIRTY
ELEMENT,DIRTY
VENT PLENUM,CORROSION
FILTERS,Not Detected
HEATING COILS,OPEN
MOTOR,DEGRADED
MOTOR CONTROLLER,INOP
MOTOR CONTROLLER,INOP
FAN PROTECTOR SCREEN,BROKEN
PHONE LINE,INOP
BELTS,BROKEN
VENTILATION SYSTEM,DOWN
Not Detected,OPEN
SW MOTOR BEARING,REPLACE
SW MOTOR BEARING,REPLACE
CONTACTOR,WORN
HEATING ELEMENT,DEGRADED
AC,Not Detected
SWITCH,Not Detected
SWITCH,Not Detected
SWITCH,Not Detected
SWITCH,Not Detected
THERMOSTAT,Not Detected
GAUGE,BROKEN
.,CORRODED
Not Detected,LACK OF ACCESS TO VENTILATION
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
TORN COUPLING,Not Detected
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FAN DISCOVERED,DIRTY
Not Detected,FAULTY
Not Detected,FAULTY
Not Detected,FAULTY
Not Detected,FAULTY
FILTERS,DIRTY
Not Detected,Not Detected
CW ISO VLV,LEAK
STEAM CUTOUT VLV,LEAK
DEYDRATOR,NEEDS TO BE RAPLECED
MATERIALS,NEEDED
AIR FILTERS,DIRTY
FCA BELTS,INOP
FILTER,NEEDED
FILTER,NEEDS REPLACED
GASKET,MISSING
GASKET,MISSING
DRAINAGE SYSTEM,CLUGGED
HEAT EXCHANGER,BRAZING
BOLTS,STRIPPED
CYCLONE SEPARATOR,Not Detected
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
AIR FILTERS,WORN
OVERLOADS,FAILED
BEARING,REPLACEMENT
CHECKING,FAILED
Not Detected,PMS
Not Detected,PMS
AIR FILTERS,REPLACEMENT
AIR FLTR,REPLACEMENT
TESTING,LEAK
START FAN SWCH,MISSING
DRIP BOTTLE,MISSING OIL
APDS REPAIR,Not Detected
VENT DUCT,NEEDS LAGGING
BELTS,WORN
BELTS,WORN
PUMP,DEGRADED
DAMPER,Not Detected
SUPPLY,Not Detected
SUPPLY,Not Detected
FILTER,Not Detected
FILTER,Not Detected
DRAIN,BROKEN
DRAIN PIPE,BROKEN
CONVERTOR HEATER,NOT HEATING
MOISTURE INDICATOR,FAULTY
BEACON,INOP
BEACON,INOP
Not Detected,LIGHT AND LENS
Not Detected,LIGHT AND LENS
Not Detected,LIGHT AND LENS
Not Detected,LIGHT AND LENS
Not Detected,LIGHT AND LENS
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
Not Detected,LIGHTBULB INVENTORY LOW
FILTER,DIRTY
FCU FILTERS,WORN
FCU FILTERS,Not Detected
AIR FILTERS,Not Detected
FCU FILTERS,Not Detected
MAC UNIT FILTERS,DIRTY
MAC UNIT FILTERS,DIRTY
MAC UNIT FILTERS,DIRTY
FCA UNIT FILTERS,DIRTY
FCA INDICATOR,OUT
FILTRATION,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTER,DEGRADED
FILTER,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
EHTERNET SWITCH,FAULT
GRAVITY COIL,LEAKING
Not Detected,Not Detected
Not Detected,Not Detected
ROTARY SWITCH,INOP
5SB,GROUNDS
Not Detected,REPLACEMENT
Not Detected,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FLOAT SWITCH,INOP
FLOAT SWITCH,INOP
INTERNAL COMPONENTS,BURNT
INTERNAL COMPONENTS,BURNT
INTERNAL COMPONENTS,BURNT
INTERNAL COMPONENTS,BURNT
INTERNAL COMPONENTS,BURNT
VENT DIFFUSER,MISSING
Not Detected,Not Detected
VENT,Not Detected
VENT PLENUM,Not Detected
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU FILTERS,DEGRADED
FCU COIL,LEAKING
BOLTS,MISSING
AIR FILTER,Not Detected
FILTERS,DIRTY
Not Detected,DEFICIENT
FCU FILTERS,DIRTY
AIR FILTERS,WORN
AIR FILTERS,WORN
FCU,Not Detected
TEMP REGULATING VALVE,Not Detected
TEMP REGULATING VALVE,Not Detected
REPAIR,INSPECT
AIR FILTERS,DIRTY
AMP NEEDED,Not Detected
Not Detected,PMS
FCU,WORKING
1A RFTP,FAILED
VALVE,BROKEN
VALVE,BROKEN
VALVE,BROKEN
VALVE,BROKEN
VALVE,BROKEN
VALVE,BROKEN
TEMP THERMISTOR,FAULTY
Not Detected,Not Detected
VENT SEAL,CRACKED
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FILTERS,REPLACE
FEMALE CONNECTOR.,FAILED
FEMALE CONNECTOR.,FAILED
Not Detected,LACK OF SPARE PARTS
DUCT COVER PANEL,MISSING
RETAINING CLIP,MISSING
MOISTURE INDICATORS,Not Detected
MOISTURE INDICATORS,Not Detected
VENTILATION DUCTWORK,Not Detected
FAN,INOP
FAN,INOP
FAN,INOP
DUCT HTR TERM BOX,DEGRADED
Not Detected,Not Detected
THERMISTOR,EVAP
THERMISTOR,EVAP
BROKE,Not Detected
WALL FAN 5TH DECK,REPLACE
FILTERS,REPLACEMENT
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
FAN HOUSING ASSEMBLY.,BROKEN
Not Detected,REPLACEMENT
Not Detected,REPLACEMENT
Not Detected,Not Detected
AIRFLOW BATTERY,FAULTY
AIRFLOW BATTERY,FAULTY
SWITCH,OUT OF CAL
VENTILATION OOC,Not Detected
AIR FILTERS,DIRTY
FILTERS,REPLACEMENT
ACCESS COVER,MISSING
FILTERS,DIRTY
FLITERS,DIRTY
Not Detected,PMS
Not Detected,PMS
FILTERS,DEGRADED
STATION,NO COMMS
FCU INSTALL,Not Detected
O-RING,FAILED
VENT,INOP
FAN CONTACTOR,FAILED
MOTOR INSULATION,DAMAGED
STRAP,NOT ATTACHED
OVERLOADS,DEGRADED
OVERLOADS,DEGRADED
OVERLOADS,DEGRADED
OVERLOADS,DEGRADED
OVERLOADS,DEGRADED
FILTER,REPLACEMENT
FILTERS,REPLACEMENT
Not Detected,PMS
FILTERS,DIRTY
BELT,BROKEN
FILTERS,WORN
FILTERS,WORN
CAP GASKET,LEAKING
FAULTY MTR,REPLACE
FAULTY MTR,REPLACE
FAULTY MTR,REPLACE
