PART,CONDITION
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FILTERS,REQUIRED
FUSES AND FUSE COVERS,MISSING
BULB,MISSING
FAN COIL UNIT,Not Detected
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
BELTS,WORN
Not Detected,LOW FLOW
Not Detected,LOW FLOW
PRESSURE/TEMP GAUGE,FAULTY
Not Detected,INOP
FCA FILTERS,DEGRADED
CROSS,THREADED NUT
RUBBER ONLY GASKET,REPLACE
NEED NEW FILTERS,Not Detected
CLAM SHELL,DAMAGED
Not Detected,WORN CLG COIL FILTER
AIR COOLER BOLTS,MISSING
FCU AIR FILTER,WORN
FCU AIR FILTER,WORN
FLOWMETER CIRCUIT CARD,FAULTY
BELT,WORN
Not Detected,Not Detected
MALFUNCTIONIONG,Not Detected
Not Detected,MALFUNCTIONING
Not Detected,LACK OF BEARINGS
ALARM MONITOR,DISPLAY
ABNORMAL VIBRATION,Not Detected
FCA MOTOR,NEEDS PARTS
FCU FILTERS,DIRTY
FILTER,Not Detected
AIRWING BERTHING FILTERS,Not Detected
FAN COIL,MISSING
FAN COIL UNIT,CAPS
BROKE,Not Detected
FAN BELT,BROKEN
FILTER,WORN
RUSTE,Not Detected
SUPPLY,INOPERABLE
FCU,Not Detected
FAN,INOPERABLE
TORN,Not Detected
CO UNDERWAY CABIN WATER HEATER,Not Detected
FILTER,Not Detected
SUPPLY,Not Detected
VALVE,CORRODED
FILTERS,REPLACEMENT
FILTERS,DEGRADED
SCREWS,MISSING
DW FLOWMETER,INOP
TEMP REGULATING VALVE,FAULTY
Not Detected,WORN GASKET
Not Detected,WORN GASKET
Not Detected,WORN GASKET
Not Detected,WORN GASKET
ELEMENT,WORN
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
AIR FILTERS,WORN MARLO
AIR FILTERS,WORN MARLO
TEST,Not Detected
FILTERS,DEGRADED
Not Detected,Not Detected
THERMAL CUTOFF RUBBER,DEGRADED
FILTER AND GASKET,REPLACE
FILTERS,MISSING
FCU FILTER,Not Detected
Not Detected,LACK OF VENTILATION
SCREWS,MISSING
AIR FILTERS,Not Detected
FCU FILTERS,Not Detected
Not Detected,PMS
Not Detected,PMS
FSST,Not Detected
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REPLACEMENT
FILTERS,REQUIRED
FILTERS,REQUIRED
Not Detected,CANCEL
Not Detected,Not Detected
VENT,TROUBLESHOOT
STUCK FAN BLADE,Not Detected
VENT DIFFUSER,BROKEN
MOTOR,INOP
FILTER,Not Detected
SUPPLY,Not Detected
FILTERS,MISSING
FCU FILTER,REPLACEMENT
FCU FILTER,REPLACEMENT
LAGGING,DETERIORATED
PINHOLE,LEAK
Not Detected,* CW INLET FAILURE
CW PIPE,LEAK
FCU FILTERS,Not Detected
A/C SW PIPE,RIGGING
FCU,CORROSION
EXCESSIVE BEARING,WEAR
BELT FCA,INOP
BELT,INOP
FCA BELTS,BROKEN
FCA BELTS,BROKEN
BELTS,BROKEN
EHTERNET SWITCH,FAULT
EHTERNET SWITCH,FAULT
FILTERS,DIRTY
FILTERS,DIRTY
DIFFUSER,MISSING
FCU NEEDS,REPLACEMENT
Not Detected,PMS
FORECASTING,Not Detected
FCU,REPLACE
BURST DISK,RUPTURED
FILTERS,DEGRADED
BELL TYPE,INCORRECT
TEMP SWITCH,CALIBRATION
FCA FILTERS,DEGRADED
AIR FILTER,REPLACEMENT
BELT,MISSING
FILTERS,REQUIRED
ORDERING FILTERS,Not Detected
ORDERING FILTERS,Not Detected
Not Detected,MIP
TRAINING,Not Detected
CLN VENT DUCT,ORDER
VENTILATION SYSTEMS,CLOG
Not Detected,Not Detected
Not Detected,REPLACE
FILTERS,Not Detected
FILTER,DEGRADED
FILTERS,DEGRADED
A/C FLANGE,Not Detected
FCU FILTER,DEGRADED
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,Not Detected
FCU,Not Detected
ASSESS AND REPAIR,Not Detected
FILTERS,DEGRADED
FILTERS,DEGRADED
Not Detected,Not Detected
1MC,INOP
SAFETY,INOP
SAFETY,INOP
MODULE,BROKEN
FILTER,WORN
FILTERS,DIRTY
FCU FILTERS,Not Detected
FILTER,REPLACE
NEW FILTER,Not Detected
VENT SYSTEM,INOP
VENT DIFFUSER,MISSING
SCREWS,MISSING
DIFFUSER,MISSING
Not Detected,Not Detected
Not Detected,Not Detected
POT AND CHILL WATER,Not Detected
FAN MOTOR,DEGRADED
VALVE,REPLACEMENT
VALVE,LEAKING
FILTER,REPLACEMENT
STAT,INOP
AIR FILTERS,DIRTY
FCU FILTERS,Not Detected
FCU FILTER,Not Detected
FCU FILTERS,Not Detected
STUFFING TUBES,NEEDED
FCU FILTERS,Not Detected
MOTOR,CONTROLLER
FILTER,DEGRADED
FILTER,DEGRADED
FILTER,DEGRADED
DEPLETED INVENTORY,Not Detected
DEPLETED INVENTORY,Not Detected
Not Detected,NEEDED
HANDWHEEL,MISSING
Not Detected,BROKEN
DEFECTIVE MODULE,Not Detected
FILTER,NEEDS REPLACEMENT
Not Detected,WORN RUBBER
Not Detected,LEAKING
Not Detected,RELAY
VENT DIFFUSER,MISSING
MODULE,FAILED
REHEATER,Not Detected
MOTOR HOUSING,INOP
Not Detected,Not Detected
Not Detected,Not Detected
BELTS,WORN
FILTERS,DIRTY
MICROPHONE,BROKEN
FILTERS,Not Detected
AOP TOGGLE SWITCH,FAULTY
AOP TOGGLE SWITCH,FAULTY
CHECK SOURCE,Not Detected
CRC PMP VNT,Not Detected
VENTILATION COVER,MISSING
FILTERS,DEGRADED
UNIT COOLER,BROKEN
MAC UNIT,INOPERABLE
ELECTRONIC,RELAY
Not Detected,RODS
FCU SQUIRREL,CAGE AND SHAFT
FILTERS,REPLACEMENT
ASSY BELTS,BROKEN
O-RING,BROKEN
FILTERS,DEGRADED
Not Detected,REFRIGERNAT
DEFECTIVE,RELAY
AC RELIEF VALVE,LEAKS
TORN,Not Detected
FILTERS,DIRTY
Not Detected,Not Detected
FILTER,DIRTY
ARE,DEGRADED
VALVE,BROKEN
HATCH,BROKEN
MISSINGDIFFUSER,Not Detected
UNIT FILTER,Not Detected
CAPACITOR,BROKEN
MAC UNIT CRACKED,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
NEW FILTERS,Not Detected
PANEL,MISSING
FILTERS,DIRTY
CANNON PLUGS,DISCONNECTED
FILTERS,DIRTY
FILTERS,DIRTY
FILTERS,DIRTY
DEFECTIVE MAC UNIT,Not Detected
FILTER,DIRTY
Not Detected,Not Detected
VENTILATION SCREEN,MISSING
FALSE ALARMS,Not Detected
C PHASE,GROUND
INCANDESCNET,MISSING
HEATER,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,INOP
AC SOLENOID,INOP
FCU FILTERS,Not Detected
Not Detected,LIGHT
CONDENSER PLUG CAPS,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
BEARINGS,WORN
REGULATING VALVE,LEAKING
FILTERS,MISSING
VENTILAION,NOT OPERABLE
FAN,GROUND
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
ADDITIONAL FILTERS,Not Detected
ADDITIONAL FILTERS,Not Detected
ADDITIONAL FILTERS,Not Detected
FCU FILTERS,Not Detected
ADDITIONAL FILTERS,Not Detected
DRAIN PAN,CORRODED
Not Detected,Not Detected
DIGITAL,CONTROL
Not Detected,Not Detected
MODULE,REPLACE
MODULE,REPLACE
MOTOR,DEGRADED
SPEAKER,REPLACEMENT
Not Detected,Not Detected
GRATING,BROKEN
FCU,PMS
DEHYDRATOR,REPLACEMENT
AUX CONTACT,FAULY
BELTS,BROKEN
SERIAL NUMBER,MISSING
SERIAL NUMBER,MISSING
VALVE,DEGRADED
FCU,Not Detected
GAGE,REJECTED
